Item_Label,URI,Project,Project_URI,Context,Context_2,Context_3,Context_URI,Latitude,Longitude,Early,Late,Item_Category,icon,Thumbnail,Published_Date,Updated_Date,Creator,Creator_URI,Site_Number,Survey_Date,Survey_Year,Grid_Location_EW,Grid_Location_NS,Height,Subregion,Neolithic,Halaf_Ubaid_Uruk,Chalcolithic,Early_Bronze,Early_Bronze, Middle_Bronze,Middle_Bronze_Late Bronze,Iron_Age,Hellenistic_Roman,Medieval,Name,Description,Site_Name,Collectors_Initials,Map_sheet_no,Local_Landmarks,Setting,Site_Description,Survey_Conditions,Collection_Summary,Collection_Comments,Hellenistic_Late_Roman_note,Medieval_note
KM 50,http://opencontext.org/subjects/280c39a7-d655-4ee5-97c6-bd504a876f13,Kahramanmaraş Survey,https://opencontext.org/projects/ca4f4719-f2a5-4119-99fa-b04573c8929a,Asia,Turkey,Kahramanmaraş Survey Area,https://opencontext.org/subjects/740f7f3e-8723-4d63-892c-c75d03771d49,37.2595937822201,36.9546491055493,-10000,1918,Site,https://opencontext.org/static/oc/icons-v2/noun-trowel-3586734.svg,https://artiraq.org/static/opencontext/kahramanmaras-survey/thumbs/images-1993/km-41-50/km-50-stele-lower-left-side-2.jpg,2007-01-01T00:00:00Z,2023-10-07T00:24:06Z,Elizabeth Carter,http://opencontext.org/persons/3208923d-69d0-70e9-9cc1-23ad97770aec,50,1993-06-10T00:00:00Z,1993,189,256,,Southwestern Valley,true,false,false,false,false,false,false,true,true,true,KM 50,"Bieberhöyük, near Incirli",Bieberhöyük,All,37SCB,"In village of Incili (figs), garden next to house","Overlooks rocky hill side and wadi, near spring","Site is completely leveled and planted with eggplants, peppers, etc. not a höyük any more but surely was one.  An Aramaen (?) stele is located in the front yard of a nearby house in this village.  My photos until 34 are of this stele.   Locals say that their father found it in the field near site 51 while plowing and set it up in their front yard.  In Gaziantep province so that museum informed","Terrible, in and among the vegetable rows, appears early",,Village where we found stele but not much left of what was probably a major mound in town,Terra sigillata or imitation 1 piece,glazed
KM 55,http://opencontext.org/subjects/d7f8383e-8e04-466d-9387-1c7fe9f65892,Kahramanmaraş Survey,https://opencontext.org/projects/ca4f4719-f2a5-4119-99fa-b04573c8929a,Asia,Turkey,Kahramanmaraş Survey Area,https://opencontext.org/subjects/740f7f3e-8723-4d63-892c-c75d03771d49,37.4193257518092,36.8909691035563,-3200,300,Site,https://opencontext.org/static/oc/icons-v2/noun-trowel-3586734.svg,https://artiraq.org/static/opencontext/kahramanmaras-survey/thumbs/images-1993/km-51-60/km-55-s-along-aksu.jpg,2007-01-01T00:00:00Z,2023-10-07T00:24:07Z,Elizabeth Carter,http://opencontext.org/persons/3208923d-69d0-70e9-9cc1-23ad97770aec,55,1993-10-09T00:00:00Z,1993,435,136,,Central Valley,false,false,false,true,false,false,false,false,true,false,KM 55,Danişmend,Danişmantepe,All,,"At edge of Kılılı village, from top Aksu valley visible north to KM south to Türkgolu and beyond, south to Karakhöyük, Gecit",Strategic position controlling narrowest part of valley,"Huge site but extensive occupation on natural hill; depth of deposit and periods of occupation is difficult to estimate.  Fortress outlines on top, terraced occupations down slopes but stopping well above the river.   South side of mound has material more or less all the way down.  Shots at end of both mine and K s roll all from the top of tepe.  New Kodachrome to no. 7 =slides from top of site","Good, two days of work, divided into 16 areas as shown on map.",Roof Tiles Ground Stone Flint count Sherd count,"Site needs to be examined by Roman specialist--twenty two bags, no early material noted on first examination, but second produces much EBA",Rope impressed,
KM 40,http://opencontext.org/subjects/d8991629-b317-4ea2-95bd-43de357a6246,Kahramanmaraş Survey,https://opencontext.org/projects/ca4f4719-f2a5-4119-99fa-b04573c8929a,Asia,Turkey,Kahramanmaraş Survey Area,https://opencontext.org/subjects/740f7f3e-8723-4d63-892c-c75d03771d49,37.2884593496699,36.9520791218895,-4200,300,Site,https://opencontext.org/static/oc/icons-v2/noun-trowel-3586734.svg,https://artiraq.org/static/opencontext/kahramanmaras-survey/thumbs/images-1993/km-31-40/km-40-general-view-2.jpg,2007-01-01T00:00:00Z,2023-10-07T00:24:05Z,Elizabeth Carter,http://opencontext.org/persons/3208923d-69d0-70e9-9cc1-23ad97770aec,40,1993-04-10T00:00:00Z,1993,185,291,24,Southwestern Valley,false,false,true,true,false,false,true,true,true,false,KM 40,Emiler,Emirler,All,N37-b3,"In village of same name, Bayramgazi to ne; modern cemetery at foot","In pocket valley by alluvial fan at the edge of barren hillside to west; rolls 5-23,4 to geology","Oval  citadel mound  little material on slopes or top of mound (which is more or less flat) probably indicates good preservation?   Villagers have unsuccessfully tried to cut road to top, but ran into masses of stones---they say it was to build cemetery which they subsequently put on the other side of mound at foot.  The village houses have cut into the tell--most of our material from these.  Clearly a major site in this region. Called Sakarat by Alkım. A=lower slopes; B= general collection ; C= cut 2 ; D= lower slopes","Cuts collected separately, a village man shows us an oil press with Byzantine crosses cut into it--Brad photos.",Ground Stone Sherd count Flint count Roof Tiles,"Collection should be studied in detail a multi period major site, possibly the source of the stele. Notes on collection: 40 A = lower slope; 40 B = general collection; 40C = cut 2 (find out from Liz where cut 2 is located).  Note by someone : Adiyaman survey p. 115 and note of Iron Age TiIle Assyr. and later for open platter with  my hammer head rim .","Rope impressed ware , splash painted, red ware stands//40C cut 1 = hellenistic platter (SC 9-98) 2011, Hellenistic red-slipped hemispherical bowl",
KM 88,http://opencontext.org/subjects/bdc9156e-c445-448b-989f-2f12e9f128e0,Kahramanmaraş Survey,https://opencontext.org/projects/ca4f4719-f2a5-4119-99fa-b04573c8929a,Asia,Turkey,Kahramanmaraş Survey Area,https://opencontext.org/subjects/740f7f3e-8723-4d63-892c-c75d03771d49,37.281317696744,37.1240697750707,-10000,1918,Site,https://opencontext.org/static/oc/icons-v2/noun-trowel-3586734.svg,https://artiraq.org/static/opencontext/kahramanmaras-survey/thumbs/images-1993/km-81-90/km-88-cut-1.jpg,2007-01-01T00:00:00Z,2023-10-07T00:24:10Z,Elizabeth Carter,http://opencontext.org/persons/3208923d-69d0-70e9-9cc1-23ad97770aec,88,1993-10-18T00:00:00Z,1993,337,279,30,Southeastern Valley,true,true,true,true,false,true,false,true,false,true,KM 88,Çoçelli,Çoçelli,All,37SCB(N38-a4),"At edge of hills near new super highway next to spring and canal, distinctive stepped rock formation to east; some of height due to underlying bedrock, Hanobası to N.",Rich agricultural,"Houses at foot probably obscure original size which was measured from map, mound now appears about 200 m in diameter.  Lots of small  brick-like  stone foundations eroding out, large, oval evenly rounded mound; excellent section revealed in both cuts, particularly cut 2 where much architecture is visible, worth a sounding, maybe even some horizontal work.  Photos 9-0 rocks,cut in ne, 9-1 cut in ne, cut in ne, 3,4,5 = gen views","Good, top ten, bottom ten, two cuts collected separately, many reconstrctible forms from cuts--should probably  draw most of these sherds",Sherd count Flint count Roof Tiles,"Top 10  Medieval glaze, incised handles, red  interior burnished plates cf. Amuq phase F-G, cut 1, light red paint on chaff tempered jar , cuts 1 and 2 have huge quantities of plain, and chaff-faced Amuq F-G pottery, string-cut bases, low neck jars, bowls with upturned rims, and interior ledge.",,"glazed, applied and incised handles, pie crust rims// 8th-9th c AD - yes SC 9-98  Donald Whitcomb confirms Islamic (2001)."
KM 128,http://opencontext.org/subjects/55c38c01-cc9a-43dd-98b3-8f8555cfc0e0,Kahramanmaraş Survey,https://opencontext.org/projects/ca4f4719-f2a5-4119-99fa-b04573c8929a,Asia,Turkey,Kahramanmaraş Survey Area,https://opencontext.org/subjects/740f7f3e-8723-4d63-892c-c75d03771d49,37.5251944458095,36.8429444449082,-4200,1918,Site,https://opencontext.org/static/oc/icons-v2/noun-trowel-3586734.svg,https://artiraq.org/static/opencontext/kahramanmaras-survey/thumbs/images-1993/km-121-130/km-128-ceramics-7.jpg,2007-01-01T00:00:00Z,2023-10-07T00:24:15Z,Elizabeth Carter,http://opencontext.org/persons/3208923d-69d0-70e9-9cc1-23ad97770aec,128,1994-08-23T00:00:00Z,1994,95,555,28,Nothern Valley,false,false,true,false,true,true,true,true,true,true,KM 128,Önsen,Önsenhöyük,All,M37-c4,"Road to village of Ösen, off Adana Rd. Largest site in area easily visible from most of the section of the valley.","In Aksu valley surrounded by cotton, tomatoes, other irrigated garden crops; wheat and olives on hills in distance to west, some remnants of oak pistachio woodland","Large mound, black soils--were crops on it burned, fortress mound with lower terraces, top dimesions 65 EW x 80 NS  Photo 12 from east and top, 15 from north first site of 94 survey 4/6=slide","Very windy, cover of burnt wheat and grass stubble on parts of site burnt and cultivated.  Upper ten, lower ten, top and perimeter collected separately",Sherd count Roof Tiles,"Complete study done by Nancy UM, many distinctive Medieval handles, decorated some with thumb knob, scraffiatto plates and bowls, drip painted, pie crust rims, Danişmen storage jar rim",Hellenistic Fine ware,"applied, decorated handles, scraffiato, pie-crust"
KM 227,http://opencontext.org/subjects/1f4caf20-2729-4715-ae99-b615d022fa0b,Kahramanmaraş Survey,https://opencontext.org/projects/ca4f4719-f2a5-4119-99fa-b04573c8929a,Asia,Turkey,Kahramanmaraş Survey Area,https://opencontext.org/subjects/740f7f3e-8723-4d63-892c-c75d03771d49,37.3576111127157,37.0355555562059,-1200,-333,Site,https://opencontext.org/static/oc/icons-v2/noun-trowel-3586734.svg,https://artiraq.org/static/opencontext/kahramanmaras-survey/thumbs/images-1994/km-221-230/km-227-lion-gen-2.jpg,2007-01-01T00:00:00Z,2023-10-07T00:24:28Z,Elizabeth Carter,http://opencontext.org/persons/3208923d-69d0-70e9-9cc1-23ad97770aec,227,1994-09-22T00:00:00Z,1994,260,366,,Central Valley,false,false,false,false,false,false,false,true,false,false,KM 227,Lion,Demirciler Hillside,"EC,LB,MK,NK",N38-a4,"Village of Demırcıler at foot of hills along Aksu, Gök Pinar",,"Stepped stone quarry site with large gate lion on angle, possibly in place, one side is unfinished.  NK says paws are like the Carchemish watergate gate lions, eye and open mouth and top of head visible.  Unfinished because its a gate lion or just unfinished because it was incomplete","Good general, but nothing found but a few flints--no real sherdage",Flint count,"Ground stone axe, miscellaneous flint bits and one handle, need full search for quarry debris",,
KM 108,http://opencontext.org/subjects/5aba1b2c-59b1-4b71-bb22-5c0ff54b0712,Kahramanmaraş Survey,https://opencontext.org/projects/ca4f4719-f2a5-4119-99fa-b04573c8929a,Asia,Turkey,Kahramanmaraş Survey Area,https://opencontext.org/subjects/740f7f3e-8723-4d63-892c-c75d03771d49,37.3087047499425,37.127377649606,-3200,1918,Site,https://opencontext.org/static/oc/icons-v2/noun-trowel-3586734.svg,https://artiraq.org/static/opencontext/kahramanmaras-survey/thumbs/images-1993/km-101-110/km-108-lower-north-corridor-1.jpg,2007-01-01T00:00:00Z,2023-10-07T00:24:12Z,Elizabeth Carter,http://opencontext.org/persons/3208923d-69d0-70e9-9cc1-23ad97770aec,108,,,34,31,15,Southeastern Valley,false,false,false,true,false,true,true,true,true,true,KM 108,Hanobası,Hanobası,"BP,MD,KC",,"Mountains directly to east, road to Antep, canal passing 200m to east and 200m to west",Surrounded by fields.,"Very tall mound with steep sides, modern village at bottom, standing remains of late date (Islamic?) arched corridor on north lower end.   Lots of late sherds.  Photos Roll #11 22-24. Gentleman has a charming antiquities garden with his finds displayed in folk art fashion.",Good collection conditions.  Several small cuts. Höyük has only a few houses all on south side,Roof Tiles Flint count,"Cut terra sigilata and imitation, late incised dec. handle, site appears to have deeply buried EBA occupation one piece obsidian","Terra sigillata or imitation, black glAzed, rope impressed//(Sc 9-98) 4th-5th c Roman and post Roman","glazed, fine incised, pie crust rims, decorated handles, late spindle, sherds with circular impressions"
KM 3,http://opencontext.org/subjects/eb58d3ca-125d-44b2-992a-773d7a7cf8aa,Kahramanmaraş Survey,https://opencontext.org/projects/ca4f4719-f2a5-4119-99fa-b04573c8929a,Asia,Turkey,Kahramanmaraş Survey Area,https://opencontext.org/subjects/740f7f3e-8723-4d63-892c-c75d03771d49,37.3778191948152,36.8633268141064,-3200,1918,Site,https://opencontext.org/static/oc/icons-v2/noun-trowel-3586734.svg,https://artiraq.org/static/opencontext/kahramanmaras-survey/thumbs/images-1994/km-01-10/km-3-w-cut-1.jpg,2007-01-01T00:00:00Z,2023-10-07T00:24:01Z,Elizabeth Carter,http://opencontext.org/persons/3208923d-69d0-70e9-9cc1-23ad97770aec,3,1993-09-23T00:00:00Z,1993,10.75,39.1,22,Central Valley,false,false,false,true,false,false,true,true,false,true,KM 3,Korocu,Korucuhöyüğü,All,N37-b1,"On Adana road, factory cuts southwest edge; Gölühöyük to NE, cement survey marker on top and on side","Agricultural fields--cotton, wheat, corn","Circular or oval mound badly cut by factory original site extension much larger but might be possible to reach early levels beneath plain level relatively easily.  Low terraces on southwest side of site where fields were burnt, these were clear for collecting but disturbed by earth removal.  Wheat on most of the site but slopes steeply and these were clear of sherds.  Terraces were collected separately.  Huge area of site along southeastern edge excavated for factory land fill--flat and section areas collected separately, two large cuts on north and west faces.  Looks like upper part of site was a  late  period fort.",Collected in morphological areas: KM3-1=southwest section; Km3-2=upper 10m. in center of section where major architectural remains visible; KM3-3=lower 10m; KM3-4=North face cut; KM3-5=west face cut.  Revisited in 1997; looting pits visible across site (some filled now to top of passages) and new cut on SW side of mound for canal or path is evident. Museum rep visited & inspected.,Roof Tiles Shell Sherd count Flint count,"Modern material on top, some Ottoman and terra sigilata, painted LBA wares ?, good EB especially from lower section.  Green-glazed amphora handle that looks ‘Parthian’, handled cooking pots, pie crust rims and bases.  Needs more study",possible open shapes noted in pottery study file, Late stuff  (SC 9/98)
KM 93,http://opencontext.org/subjects/58288986-aaa1-4bc6-916b-c0b1dab569bc,Kahramanmaraş Survey,https://opencontext.org/projects/ca4f4719-f2a5-4119-99fa-b04573c8929a,Asia,Turkey,Kahramanmaraş Survey Area,https://opencontext.org/subjects/740f7f3e-8723-4d63-892c-c75d03771d49,37.2519551423592,37.0671714370749,,,Site,https://opencontext.org/static/oc/icons-v2/noun-trowel-3586734.svg,https://artiraq.org/static/opencontext/kahramanmaras-survey/thumbs/images-1993/km-91-100/km-93-mystery-installation-4.jpg,2007-01-01T00:00:00Z,2023-10-07T00:24:11Z,Elizabeth Carter,http://opencontext.org/persons/3208923d-69d0-70e9-9cc1-23ad97770aec,93,1993-10-20T00:00:00Z,1993,288,259,,Southeastern Valley,false,false,false,false,false,false,false,false,false,false,KM 93,"quary, cave tombs, wine press",Unnamed Site,"EC,KC,BP,MD",37SCB(N38-a4),In rocky hills southwest of village of Taşbiçme,rocky slopes,"Possibly quarry and cisterns, informants say mezar; photos 17=quary, 18 of cistern with footholds, 19 stone cut canal, 20 of second tomb entrance, tombs=three niched cave tombs about 5m=depth, 8m=length, entrance to sw.; on way down hill some sort of grape press or mystery installations=square shallow room cut into stone attached to a circular structure, two post holes either side suggesting some sort of canopy.  Worthy of some more research and mapping, clearly goes with town at the foot of hills",Good but only 2 sherds,,,,heavy white tempered red ware nothing distinctive
KM 26,http://opencontext.org/subjects/063023da-19b6-4d5f-9848-cfde1fbceba2,Kahramanmaraş Survey,https://opencontext.org/projects/ca4f4719-f2a5-4119-99fa-b04573c8929a,Asia,Turkey,Kahramanmaraş Survey Area,https://opencontext.org/subjects/740f7f3e-8723-4d63-892c-c75d03771d49,37.3025623586847,36.7532395335284,-333,1918,Site,https://opencontext.org/static/oc/icons-v2/noun-trowel-3586734.svg,https://artiraq.org/static/opencontext/kahramanmaras-survey/thumbs/images-1993/km-21-30/km-26-mill-1.jpg,2007-01-01T00:00:00Z,2023-10-07T00:24:04Z,Elizabeth Carter,http://opencontext.org/persons/3208923d-69d0-70e9-9cc1-23ad97770aec,26,1993-10-01T00:00:00Z,1993,8,309,4,Southwestern Valley,false,false,false,false,false,false,false,false,true,true,KM 26,"Sarılar, mill",Sarılar,All,37SCB,Miller at foot of steep hill will direct you,"Beautiful valley with gardens, poplars pomegranate orchards etc. Ceyhan in background--in Amanus foothills","Steep hill, probably fortified, fort nestled in bedrock outcrop, robbed tombs on top some terracing on side, Photos 4-14, 15,16=mill to 22 from top of site.  Elevation of deposit less than 5 meters","Excellent but vegetation cover, one cut collected separately",Sherd count Ground Stone Roof Tiles,"Small collection may be single period, one blackened incised sherd, lots of rope impressed","Terra sigillata or imitation, much rope impressed",Islamic greenish corrugated fine (SC) Medieval handles
